nCategory,nSubCategory,CatCode
Artificial Flower Arrangements,Cymbidium Series,102
Artificial Flower Arrangements,Hydrangea Series,104
Artificial Flower Arrangements,Orchid Series,107
Artificial Flower Arrangements,Other Arrangement,107
Artificial Flower Arrangements,Other Arrangement,100
Artificial Flower Arrangements,Other Arrangement,103
Artificial Flower Arrangements,Phalaenopsis Series,109
Artificial Flower Arrangements,Protea Series,112
Artificial Flowers,Allium,502
Artificial Flowers,Amaranthus,503
Artificial Flowers,Anthuriums,505
Artificial Flowers,Astilbes,508
Artificial Flowers,Astrantia,509
Artificial Flowers,BabysBreath,510
Artificial Flowers,Banksia,511
Artificial Flowers,Berries,513
Artificial Flowers,Berry,513
Artificial Flowers,Billy,515
Artificial Flowers,Blossom,517
Artificial Flowers,Blushing Brush,518
Artificial Flowers,Bottle Brush,519
Artificial Flowers,Bougainvilleas,520
Artificial Flowers,Bunny,522
Artificial Flowers,Carnation,525
Artificial Flowers,Chrysanthemum,526
Artificial Flowers,Corn Flower,530
Artificial Flowers,Cosmos,531
Artificial Flowers,Cotton,532
Artificial Flowers,Craspedia,529
Artificial Flowers,Dahlia,535
Artificial Flowers,Daisy,657
Artificial Flowers,Delphinium,536
Artificial Flowers,DustyMiller,538
Artificial Flowers,Eucalyptus,539
Artificial Flowers,Eucalyptuses,539
Artificial Flowers,Eucalyptuses,732
Artificial Flowers,Fern,540
Artificial Flowers,Ferns,540
Artificial Flowers,Fig,541
Artificial Flowers,Flannel,542
Artificial Flowers,Foxtail,544
Artificial Flowers,Frangipani,543
Artificial Flowers,Gardenia Flowers,661
Artificial Flowers,Gloriosa,547
Artificial Flowers,Grass,548
Artificial Flowers,Grasses,540
Artificial Flowers,Grevillea,549
Artificial Flowers,Gum,550
Artificial Flowers,Hydrangea,553
Artificial Flowers,Kangaroo Paw,555
Artificial Flowers,Lambs Ear,556
Artificial Flowers,Larkspur,557
Artificial Flowers,Laurel,558
Artificial Flowers,Leucadendron,561
Artificial Flowers,Lily,563
Artificial Flowers,Lush,567
Artificial Flowers,Magnolia,568
Artificial Flowers,Maple,569
Artificial Flowers,Mimosa,660
Artificial Flowers,Mimosa Flowers,660
Artificial Flowers,Moss,573
Artificial Flowers,Native,574
Artificial Flowers,Olive,601
Artificial Flowers,Orchid,602
Artificial Flowers,Other,500
Artificial Flowers,Other Flowers,500
Artificial Flowers,Other Flowers,608
Artificial Flowers,Other Leaves,655
Artificial Flowers,Other Spray,656
Artificial Flowers,Palm,603
Artificial Flowers,Palm Leaves,603
Artificial Flowers,Pampas,604
Artificial Flowers,Pansy,658
Artificial Flowers,Peony,606
Artificial Flowers,Pin Cushion,609
Artificial Flowers,Pom Pom,612
Artificial Flowers,Poppy,614
Artificial Flowers,Protea,615
Artificial Flowers,Pussy,616
Artificial Flowers,Rose,619
Artificial Flowers,Rosebud,620
Artificial Flowers,Ruellia,621
Artificial Flowers,Scadoxus,625
Artificial Flowers,SeaHolly,626
Artificial Flowers,Seed,627
Artificial Flowers,Snowball,632
Artificial Flowers,Spray,656
Artificial Flowers,Stephanotis,635
Artificial Flowers,Sun Flower,637
Artificial Flowers,Tea,641
Artificial Flowers,Thistle,643
Artificial Flowers,Tropical,659
Artificial Flowers,Tropical Flowers,659
Artificial Flowers,Tulip,645
Artificial Flowers,Twig,646
Artificial Flowers,Waratah,648
Artificial Flowers,Wattles,649
Artificial Flowers,Wax,650
Artificial Flowers,Wheat,651
Artificial Flowers,Wisteria,653
Artificial Planter Plants,Agave Plant,801
Artificial Planter Plants,Aglaonema Plant,802
Artificial Planter Plants,Alocasia Plant,803
Artificial Planter Plants,Anthurium Plant,804
Artificial Planter Plants,Begonia Plant,805
Artificial Planter Plants,Birds Nest Plant,806
Artificial Planter Plants,Caladium Plant,809
Artificial Planter Plants,Caladium Plant,719
Artificial Planter Plants,Calathea Plant,810
Artificial Planter Plants,Calathea Plant,720
Artificial Planter Plants,Cordyline Plant,811
Artificial Planter Plants,Croton Plant,812
Artificial Planter Plants,Cymbidium Plant,815
Artificial Planter Plants,Dieffenbachia Plant,816
Artificial Planter Plants,Dracaena Plant,817
Artificial Planter Plants,Eucalyptus Plant,818
Artificial Planter Plants,Evergreen Plant,819
Artificial Planter Plants,Fern Pot,820
Artificial Planter Plants,Fern Pot,736
Artificial Planter Plants,Fern Pot,734
Artificial Planter Plants,Fittonia Plant,821
Artificial Planter Plants,Flower Pot,712
Artificial Planter Plants,Flower Pot,500
Artificial Planter Plants,Flower Pot,658
Artificial Planter Plants,Grass Pot,707
Artificial Planter Plants,Grass Pot,740
Artificial Planter Plants,Hanging Pot,711
Artificial Planter Plants,Hanging Pot,700
Artificial Planter Plants,Hanging Pot,789
Artificial Planter Plants,Hanging Pot,830
Artificial Planter Plants,Hanging Pot,717
Artificial Planter Plants,Hanging Pot,710
Artificial Planter Plants,Hanging Pot,778
Artificial Planter Plants,Hosta Plant,823
Artificial Planter Plants,Kangaroo Paw Plant,825
Artificial Planter Plants,Monstera Plant,826
Artificial Planter Plants,Monstera Plant,754
Artificial Planter Plants,Other Plants,845
Artificial Planter Plants,Other Plants,800
Artificial Planter Plants,Other Plants,831
Artificial Planter Plants,Other Plants,721
Artificial Planter Plants,Other Plants,700
Artificial Planter Plants,Other Plants,741
Artificial Planter Plants,Other Plants,763
Artificial Planter Plants,Other Plants,745
Artificial Planter Plants,Other Plants,767
Artificial Planter Plants,Other Plants,844
Artificial Planter Plants,Other Plants,705
Artificial Planter Plants,Peperomia Plant,828
Artificial Planter Plants,Peperomia Plant,757
Artificial Planter Plants,Peperomoides Plant,829
Artificial Planter Plants,Philodendron Plant,830
Artificial Planter Plants,Pothos Plant,832
Artificial Planter Plants,Pothos Plant,761
Artificial Planter Plants,Spathiphyllum Plant,834
Artificial Planter Plants,Syngonium Plant,839
Artificial Planter Plants,Yucca Plant,842
Artificial Planter Plants,Yucca Plant,764
Artificial Planter Plants,Zanzibar Plant,843
Artificial Plants,Agave,701
Artificial Plants,Agave,801
Artificial Plants,Aluminium,705
Artificial Plants,Angel,706
Artificial Plants,Astilbe,708
Artificial Plants,Baby's Breath,710
Artificial Plants,Berry,714
Artificial Plants,Birds Nest Plant,806
Artificial Plants,Bougainvillea,715
Artificial Plants,Boxwood,716
Artificial Plants,Boxwood,807
Artificial Plants,Budding,717
Artificial Plants,Cactus,718
Artificial Plants,Caladium,719
Artificial Plants,Calathea,720
Artificial Plants,Clematis,723
Artificial Plants,Coin Leaf,724
Artificial Plants,Coleus,725
Artificial Plants,Cordyline,727
Artificial Plants,Cordyline,811
Artificial Plants,Croton,812
Artificial Plants,Cycas,729
Artificial Plants,Dieffenbachia,730
Artificial Plants,Echeveria,731
Artificial Plants,Eucalyptus,732
Artificial Plants,Evergreen,733
Artificial Plants,Fern,734
Artificial Plants,Fiddle,735
Artificial Plants,Fittonia,737
Artificial Plants,Garland,791
Artificial Plants,Geranium,789
Artificial Plants,Grape,739
Artificial Plants,Grass,740
Artificial Plants,Grasses,740
Artificial Plants,Hedge,741
Artificial Plants,Hosta,743
Artificial Plants,Ivy,745
Artificial Plants,Lavender,750
Artificial Plants,Lemon,746
Artificial Plants,Locust,752
Artificial Plants,Monsteras,754
Artificial Plants,Morning Glory,793
Artificial Plants,MorningGlory,793
Artificial Plants,Mosses,755
Artificial Plants,Other,700
Artificial Plants,Other Greenery,700
Artificial Plants,Other Greenery,730
Artificial Plants,Peperomia,757
Artificial Plants,Philo,758
Artificial Plants,Philo,760
Artificial Plants,Philodendron,758
Artificial Plants,Pothos,761
Artificial Plants,Ruscuses,763
Artificial Plants,Sansevieria,764
Artificial Plants,Saxifraga,767
Artificial Plants,Sedum,769
Artificial Plants,Spider,773
Artificial Plants,Stephanotis,774
Artificial Plants,Stephanotis Greenery,774
Artificial Plants,String of Pearls,776
Artificial Plants,Succulent,777
Artificial Plants,Syngonium,778
Artificial Plants,Tillandsia,781
Artificial Plants,Trailing,780
Artificial Plants,Tropical,790
Artificial Plants,Vertical Garden,782
Artificial Plants,Wandering Jew,783
Artificial Plants,WanderingJew,783
Artificial Plants,Wattle,784
Artificial Plants,Zebra,788
Artificial Trees,Areca,902
Artificial Trees,Bamboo,903
Artificial Trees,Bird of Paradise,904
Artificial Trees,BirdofParadise,904
Artificial Trees,Blossom Tree,905
Artificial Trees,Boxwood,933
Artificial Trees,Boxwood Tree,933
Artificial Trees,Cabada Tree,907
Artificial Trees,Cane,909
Artificial Trees,Cedar Tree,910
Artificial Trees,Dragon Tree,913
Artificial Trees,Eucalyptus,914
Artificial Trees,Eucalyptus Tree,914
Artificial Trees,Ficus,915
Artificial Trees,Ficus Tree,915
Artificial Trees,Fiddle,916
Artificial Trees,Fiddle Tree,916
Artificial Trees,Ginkgo,917
Artificial Trees,Gum Tree,918
Artificial Trees,Kentia,919
Artificial Trees,Lemon Tree,920
Artificial Trees,Olive,923
Artificial Trees,Olive Tree,923
Artificial Trees,Other Trees,900
Artificial Trees,Other Trees,917
Artificial Trees,Other Trees,925
Artificial Trees,Palm Areca,902
Artificial Trees,Palm Cane,909
Artificial Trees,Palm Cycad,937
Artificial Trees,Palm Kentia,919
Artificial Trees,Palm Phoenix,932
Artificial Trees,Palm Raphis,926
Artificial Trees,Palm Travellers,930
Artificial Trees,Phoenix,932
Artificial Trees,Pieris,924
Artificial Trees,Pothos,936
Artificial Trees,Raphis,926
Artificial Trees,Rubber,927
Artificial Trees,Rubber Tree,927
Artificial Trees,Ruscus Tree,939
Artificial Trees,Sky Bird,929
Artificial Trees,SkyBird,929
Artificial Trees,Travellers,930
Artificial Trees,Wisteria Tree,931
Hanging Basket,Flower Hanging Basket,201
Hanging Basket,Greenery Hanging Basket,202
Peripheral,Artificial Moss,573
Peripheral,Artificial Moss,755
Peripheral,Basket,9
Peripheral,Bowl,1
Peripheral,Fruit,5
Peripheral,Other,X
Peripheral,Pot,3
Peripheral,Stand,8
Peripheral,Table,7
Peripheral,Vase,4
