Code,SU,SKU,Barcode,Description,NetCost,DiscRate,FinalCost,RefPrice,ListPrice,RegularPrice,SalePrice,HL,Location,Color,Cluster,AttColor,Qty,Stock,Sold,SiteStock,StockStatus,CatCode,AppliedModel,ModelCode,Category,SubCat,PostID,PostTitle,PostSlug,PostContent,PostShortDesc,PostStatus,ProductCat,ProductTag,ProductStyle,FocusKW,MetaTitle,MetaDesc,LinkDex,ReadingTime,ContentScore,ProductPage,Images,Image,Comment,Judge,nCategory,nSubCategory,Index,Price,Name,PNDesc,PNLen,Per,PC
10.637.01,AB,A55310637,9331460251024,Hydrangea Stem 28*16*45cm White,$3.82,0%,$3.82,$9.55,$8.95,$9.95,,45,,White,White,White,24,24,0,,instock,553,10637,10637,Flowers,Hydrangea,10978,Artificial Hydrangea Stem Fake Flowers 45cm,artificial-hydrangea-stem-fake-flowers-45cm,"Experience the beauty of blossoms year-around with our 45cm Artificial Hydrangea Stem Fake Flowers. Designed to bring a touch of spring to your home or office without the concerns of watering or exposure to sunlight, these white artificial hydrangeas are perfect for your modern decor needs. They offer an exceptional value for money, catering to those who want both aesthetic appeal and value for their expenditure. 
Each stem is individually handcrafted with extreme detail to provide a realistic look that's nearly indistinguishable from a fresh hydrangea. Crafted with high-quality material, these large artificial flowers are not only visually stunning but also durable, ensuring they look stunning for years. 
Safe and easy to maintain, they are ideal to be used around kids or pets and they don't require any significant cleaning, making them an excellent choice for people with busy lifestyles. Also, they serve as perfect bookcase decor adding charm and elegance to any room and can complement a range of interior design styles from classic to contemporary. 
Unleash your imagination by creating custom arrangements. Whether it's a single stem in a pretty vase on the breakfast table or an elaborative center-piece arrangement on your dining table, your artificial hydrangea can do it all. 
With innovative design, these faux hydrangeas offer the simplicity and elegance of nature while maintaining the modern lifestyle aesthetic. Our Artificial Hydrangea Stem Fake Flowers are a cost-effective, safe, and clean addition to any home or event, offering perpetual blooming and intricate beauty.","SKU: A55310637, Color: White, Size: 28*16*45cm",publish,Artificial Flowers|Artificial Flowers > Hydrangea,,,Artificial Hydrangea Stem,Artificial Hydrangea: Large Artificial Flowers for Your Modern Lifestyle,"Style your space with large, white artificial hydrangea stems. Perfect for bookcase decor or as stand-alone pieces. Easy to clean, safe, and cost-effective. Embrace a modern lifestyle.",66,2,30,https://lifelikeplants.au/product/artificial-hydrangea-stem-fake-flowers-45cm/,https://lifelikeplants.au/wp-content/uploads/2023/09/A55310637.webp ! alt : White Artificial Hydrangea Stem Main Image ! title : A55310637 ! desc :  ! caption : ,https://lifelikeplants.au/wp-content/uploads/2023/09/A55310637.webp ,,|,Artificial Flowers,Hydrangea,0,8.95,A55310637 Hydrangea White 45cm,Hydrangea Stem,14,1,
20.435.12,AB,A74320435,9331460243241,Mini Hosta Bush 32*32*35cm Gn,$4.96,30%,$3.47,$8.68,$8.95,,,35,,Green,Green,,24,14,10,,,743,20435,20435,Greenery,Hosta,,,,,,,,,,,,,,,,,,,2025-02-21,,Artificial Plants,Hosta,14,8.95,A74320435 Hosta Green 35cm,Mini Hosta Bush,15,1,
20.436.12,AB,A53920436,9331460243449,Eucalyptus Spray 20*20*78cm Gn,$8.40,30%,$5.88,$14.70,$14.95,$14.95,,78,,Green,Green,Green,12,12,0,,instock,539,20436,20436,Flowers,Eucalyptus,10979,Eucalyptus Spray Green 78cm,eucalyptus-spray-green-78cm,"SKU: A53920436, Color: Green, Size: 20*20*78cm, Package: 5*5*83cm","SKU: A53920436, Color: Green, Size: 20*20*78cm",draft,Artificial Flowers|Artificial Flowers > Eucalyptuses,Non-Keep,,,,,,,,https://lifelikeplants.au/?post_type=product&p=10979,https://lifelikeplants.au/wp-content/uploads/2023/09/A53920436.webp ! alt :  ! title : A53920436 ! desc :  ! caption : ,https://lifelikeplants.au/wp-content/uploads/2023/09/A53920436.webp ,,|,Artificial Flowers,Eucalyptuses,0,14.95,A53920436 Eucalyptus Green 78cm,Eucalyptus Spray,16,1,
20.695.54,AB,A64120695,9331460322786,Tea Leaf Spray 40*15*97cm Sage,$10.50,30%,$7.35,$18.38,$17.95,$17.95,,97,,Green,Green,Green,24,24,0,,instock,641,20695,20695,Flowers,Tea,10980,Faux Tea Leaf Spray Coffee Table Decor 97cm,faux-tea-leaf-spray-coffee-table-decor-97cm,"Introducing the Faux Tea Leaf Spray Coffee Table Decor that redefines the meaning of exterior wall decor and decorative trays at an exceptional value for money. Measuring a prominent 97cm, this cost-effective decor solution adds a dazzling hint of sophistication to your surroundings while fitting comfortably in your budget. 
Crafted from synthetic tea leaves in the exquisite shade of sage, this decor piece exudes an earthy and calming aesthetic that will never go unnoticed. The sage color resonates with peace and tranquility, creating a vertical garden illusion for a soothing atmosphere in your living space.
Our Faux Tea Leaf Spray is more than just a decorative element – it is a time-saving and convenient solution for those who love the look of fresh decor but lack the time for constant maintenance or can't care for real plants. Being faux, it offers the advantage of not fading, drying, or wilting, making it a long-lasting addition to your home or office.
Moreover, this eco-friendly product represents both sustainable aesthetics and excellent craftsmanship; it perfectly mimics the texture of real tea leaves while ensuring less environmental burden. The versatile design will find its place in multiple arrangements, be it your coffee table centerpiece or exterior wall decor. Multi-use decor like this saves you money on buying separate pieces for each setting.
On purchasing with us, you not only get this gorgeous faux tea leaf spray but also exceptional customer support. Have any questions or concerns? Our team is right here to assist you with all your needs. So, why wait? Join the sustainability trend and add this exquisite faux tea leaf spray to your decor collection today.","SKU: A64120695, Color: Green, Size: 40*15*97cm",publish,Artificial Flowers > Tea|Artificial Flowers,Sale,,Faux Tea Spray,Faux Tea Leaf Spray - Affordable Exterior Wall Decor | Decorative Tray,"Illuminate your space with our eco-friendly, cost-effective Faux Tea Leaf Spray. Offers time-saving convenience and a distinctive sage hue for enhanced appeal.",,2,30,https://lifelikeplants.au/product/faux-tea-leaf-spray-coffee-table-decor-97cm/,https://lifelikeplants.au/wp-content/uploads/2023/09/A64120695.webp ! alt : Sage Faux Tea Spray Main Image ! title : A64120695 ! desc :  ! caption : ,https://lifelikeplants.au/wp-content/uploads/2023/09/A64120695.webp ,2025-09-16,>,Artificial Flowers,Tea,2,17.95,A64120695 Tea Green 97cm,Tea Leaf Spray,14,1,
30.1012.12,AB,A77631012,9331460322601,String of Pearls 12*12*85cm Gn,$1.60,0%,$1.60,$4.00,$9.95,$9.95,,85,J13,Green,Green,Green,84,59,25,,instock,776,31012,31012,Greenery,StringofPearls,10981,Faux String of Pearls Imitation Plants 85cm,faux-string-of-pearls-imitation-plants-85cm,"Add an everlasting touch of green to your living spaces with our Faux String of Pearls plants. This 85cm beauty revitalizes your home decor without the fuss of maintenance. As one of the most popular and recognizable fake plants for home decor, it's intricately designed with attention to detail. We guarantee its 'as-real-as-it-gets' look, thanks to its innovative design, so even the most discerning eyes will find it hard to tell the difference. The advantage? No watering needed - making it a perfect solution for busy homeowners who love to have a green touch indoors.
As its name suggests, this Faux String of Pearls is a string of smooth, pearl-like leaves, imitating the real Succulent plant. It's made with top-of-the-line, eco-friendly materials, ensuring it's safe and clean for your homes - ideal for those with kids or pets. It boasts a three-dimensional impression that fits perfectly in terrariums, hanging baskets, or even on your office desk.
Get ready to revamp your home decor with our Faux String of Pearls - the epitome of high-quality aesthetic appeal. Maintenance-free, our Faux String of Pearls plant is the hassle-free answer to achieving a thriving, green interior year-round.","SKU: A77631012, Color: Green, Size: 12*12*85cm",publish,Artificial Plants|Artificial Plants > String of Pearls,,,Faux String of Pearls,Faux String of Pearls: Eco-Friendly Fake Plants for Home Decor,"Experience hassle-free decorating with our Faux String of Pearls. This maintenance-free, green, fake plant guarantees a great addition to your home decor. Eco-friendly and made with premium quality materials.",,1,90,https://lifelikeplants.au/product/faux-string-of-pearls-imitation-plants-85cm/,https://lifelikeplants.au/wp-content/uploads/2023/09/A77631012.webp ! alt : Green Faux String of Pearls Main Image ! title : A77631012 ! desc :  ! caption : ,https://lifelikeplants.au/wp-content/uploads/2023/09/A77631012.webp ,2025-04-26,|,Artificial Plants,String of Pearls,1,9.95,A77631012 StringofPearls Green 85cm,String of Pearls,16,1,
30.1036.12,AB,A72731036,9331460331115,Cordyline Bush 55*55*55cm Grn/Burg,$18.80,70%,$5.64,$14.10,$29.95,$39.95,,55,L34,Green,Green,Green,27,18,9,,instock,727,31036,31036,Greenery,Cordyline,10982,Artificial Cordyline Bush Fake Plants 55cm,artificial-cordyline-bush-fake-plants-55cm,"Immerse yourself in the grandeur of nature with our Artificial Cordyline Bush Fake Plants. Measured at a convenient size of 55cm, they are perfect for complementing your center table decor or as imitation hanging plants.
The beauty of this product lies not just in its vibrant Green and Burgundy color but also in its Safe and Clean properties. Being an artificial plant, it requires no watering or grooming, making it the ideal maintenance-free accessory for your living space. The high quality allows it to blend seamlessly among real plants, providing your space with an organic feel.
It doesn't stop with simple decor; our Artificial Cordyline also opens up Creative DIY Options for your inventive mind. Be it an exotic corner decor, a captivating entryway display, or even a trendy wall arrangement, this product lets you explore possibilities. 
This Artificial Cordyline Bush isn't just a product; It's an Experience. It's Easy and Convenient to Use, requiring no special tools or instructions. You can now enjoy the freshness of diverse vegetation without the traditional hassles. 
Choose our Artificial Cordyline for an easy yet stylish decoration solution. Let it transform your home or office into a refreshing and elegant environment. 
Features:
- Low Maintenance: This plant requires no watering or grooming.
- Long-Lasting: Due to its artificial nature, it lasts for a long time.
- Creative DIY Options: Allows you to explore various decoration ideas.
- Green Burgundy color: Adds a vibrant touch to your decor.
 Experience the magic of greenery in your living space without any hassle. Simply set up our creatively versatile Artificial Cordyline Bush, and enjoy the serene view. It’s a revolutionary aesthetic experience.","SKU: A72731036, Color: Green, Size: 55*55*55cm",publish,Artificial Plants|Artificial Plants > Cordyline,,,Artificial Cordyline Bush,Artificial Cordyline - Transform Your Center Table Decor,Unearth a Revolutionary Experience with our Maintenance-Free Artificial Cordyline - Perfect for Center Table Decor and Imitation Hanging Plants.,71,2,60,https://lifelikeplants.au/product/artificial-cordyline-bush-fake-plants-55cm/,https://lifelikeplants.au/wp-content/uploads/2023/09/A72731036.webp ! alt : Green Burgundy Artificial Cordyline Bush Main Image ! title : A72731036 ! desc :  ! caption : ,https://lifelikeplants.au/wp-content/uploads/2023/09/A72731036.webp ,2025-08-25,|,Artificial Plants,Cordyline,2,29.95,A72731036 Cordyline Green 55cm,Cordyline Bush,14,1,
30.1039.81,AB,A72031039,9331460331399,Calathea Bush 84cm Variegated,$16.70,50%,$8.35,$29.23,$20.00,,,84,,Variegated,Variegated,,12,12,0,,,720,31039,31039,Greenery,Calathea,,,,,,,,,,,,,,,,,,,,,Artificial Plants,Calathea,0,20.00,A72031039 Calathea Variegated 84cm,Calathea Bush,13,1,
30.1065.12,AB,A76131065,9331460338008,EG Pothos Bush 35*35*35cm Green,$2.25,0%,$2.25,$5.63,$12.95,$12.95,,35,,Green,Green,Green,48,48,0,,instock,761,31065,31065,Greenery,Pothos,10984,EG Pothos Bush Green 35cm,eg-pothos-bush-green-35cm,"SKU: A76131065, Color: Green, Size: 35*35*35cm, Package: 10*10*40cm","SKU: A76131065, Color: Green, Size: 35*35*35cm",draft,Artificial Plants|Artificial Plants > Pothos,Non-Keep,,,Shop EG Pothos Bush Green 35cm Online | Lifelike Plants,Enhance your space with Lifelike Plants' EG Pothos Bush Green 35cm. Buy online for lifelike botanical charm. Elevate your decor effortlessly!,,1,90,https://lifelikeplants.au/?post_type=product&p=10984,https://lifelikeplants.au/wp-content/uploads/2023/09/A76131065.webp ! alt :  ! title : A76131065 ! desc :  ! caption : ,https://lifelikeplants.au/wp-content/uploads/2023/09/A76131065.webp ,18JUL,|,Artificial Plants,Pothos,0,12.95,A76131065 Pothos Green 35cm,EG Pothos Bush,14,1,
30.419.12,AB,A73430419,9331460207489,Boston Fern Bush 55cm Gn,$27.15,30%,$19.01,$47.51,$40.00,$40.00,,55,S23,Green,Green,Green,192,17,175,,instock,734,,30419,Greenery,Fern,10985,Faux Boston Fern Bush Imitation Plants 55cm,faux-boston-fern-bush-imitation-plants-55cm,"Discover a vibrant, green paradise right in your living room with our 55cm Faux Boston Fern Bush. A perfect embodiment of natural beauty and the power of technology, this faux fern is not just a mere artificial plant; it's a ticket to a stress-free, perpetual spring season. 
Here's what makes our faux fern matchless:
- Cost-Effective: Say goodbye to replacing wilted indoor plants as your fern will remain green forever.
- Time-Saving & Convenient: No more watering, no more pruning, and no sunlight required. You get to enjoy all the beauty without the toil and trouble.
- Long-Lasting Durability: Our faux hanging basket mimics nature's resilience. Incredibly long-life span and sturdy making can withstand any weather condition.
But what sets our Faux Fern apart? The answer lies in our promise of 'Premium Quality Guaranteed'. Each fern is carefully crafted; each leaf shaped to match the beautiful raw asymmetry of nature. Made with love and powered by cutting-edge technology, we strive to mimic every minute detail of the real Boston fern bush. Ease into a fuss-free, maintenance-free lifestyle with our Faux Fern – designed to bring nature inside, without the hassle.","SKU: A73430419, Color: Green, Size: 55cm",publish,Artificial Plants|Artificial Plants > Fern,,,Faux Fern Bush,Faux Fern - Buy 55cm Artificial Plants Online!,"Get cost-effective, time-saving, and convenient Faux Boston Fern Bush Imitation Plants. Enjoy green, long-lasting durability with our premium quality guaranteed artwork, all powered by technology.",68,2,60,https://lifelikeplants.au/product/faux-boston-fern-bush-imitation-plants-55cm/,https://lifelikeplants.au/wp-content/uploads/2023/09/A73430419-scaled.webp ! alt : Green Faux Fern Bush Main Image ! title : A73430419 ! desc :  ! caption : ,https://lifelikeplants.au/wp-content/uploads/2023/09/A73430419-scaled.webp ,2025-11-11,|,Artificial Plants,Fern,3,40.00,A73430419 Fern Green 55cm,Boston Fern,11,1,
30.536.12,AB,A78330536,9331460236250,Wandering Jew Bush 20*20*50cm Va,$0.00,0%,$10.22,$25.55,$25.00,,,50,,Variegated,Variegated,,36,0,36,,,783,,30536,Greenery,WanderingJew,,,,,,,,,,,,,,,,,,,2025-05-17,,Artificial Plants,WanderingJew,1,25.00,A78330536 WanderingJew Variegated 50cm,Wandering Jew Bush,18,1,
